id	e	k	m	t
87	1	8	225779	125.0
88	1	8	224168	110.0
89	1	8	362956	146.0
90	1	8	803578	259.0
91	1	8	119310	166.0
92	1	8	191642	88.0
93	1	8	55682	28.0
94	1	8	216413	95.0
95	1	8	166819	84.0
96	1	8	226618	99.0
97	1	8	223203	112.0
98	1	8	220672	98.0
99	1	8	219662	101.0
0	2	8	2504112	1090.0
1	2	8	2618797	1134.0
2	2	8	2493827	1096.0
3	2	8	2732925	1173.0
4	2	8	2741434	1169.0
5	2	8	1681270	770.0
6	2	8	2750258	1176.0
7	2	8	2317372	1032.0
8	2	8	2696063	1132.0
9	2	8	1824277	879.0
10	2	8	3244519	1288.0
11	2	8	3154462	1279.0
12	2	8	1436438	725.0
13	2	8	2369349	1095.0
14	2	8	2958611	1247.0
15	2	8	2885047	1144.0
16	2	8	3108477	1266.0
17	2	8	2930880	1202.0
18	2	8	2689418	1095.0
19	2	8	3906685	1508.0
20	2	8	527597	258.0
21	2	8	666396	345.0
22	2	8	2076692	953.0
23	2	8	2556913	1055.0
24	2	8	2714795	1163.0
25	2	8	2748193	1187.0
26	2	8	1828599	839.0
27	2	8	622856	354.0
28	2	8	2718338	1177.0
29	2	8	2272326	1028.0
30	2	8	2652975	1118.0
31	2	8	1882206	867.0
32	2	8	2609408	1119.0
33	2	8	2004380	909.0
34	2	8	2725127	1150.0
35	2	8	2225812	1003.0
36	2	8	2814588	1143.0
37	2	8	2381595	1024.0
38	2	8	3441106	1350.0
39	2	8	2541757	1083.0
40	2	8	2598795	1129.0
41	2	8	2752868	1148.0
42	2	8	3257102	1278.0
43	2	8	3094507	1291.0
44	2	8	2568627	1082.0
